ISBN,ISBN NUMERIQUE,OUVRAGE,NOM AUTEUR ,PRENOM AUTEUR ,EDITEUR,COLLECTION,DISCIPLINE,DISCIPLINE,ANNEE,MISE EN LIGNE,OUVRAGE ACCESSIBLE,TARIF EN EUROS HT,ANNEES AVANT ACCES PERENNE,URL CAIRN
9782110052032,,"Avignon, le public réinventé",Ethis,Emmanuel,DEPS,Questions de culture,Arts,,2002,2014-04-01,non,B,infos non disponibles,http://www.cairn.info/avignon-le-public-reinvente--9782110052032.htm
9782130421740,9782402333498,Beaux-arts et archétypes,Durand,Gilbert,P.U.F.,Hors collection,Arts,,1989,2017-01-01,non,B,infos non disponibles,http://www.cairn.info/beaux-arts-et-archetypes--9782130421740.htm
9782130585039,,"Cecil B. DeMille, le gladiateur de Dieu",Bourget,Jean-Loup,P.U.F.,Hors collection,Arts,,2013,2017-04-05,non,F,infos non disponibles,http://www.cairn.info/cecil-b-demille-le-gladiateur-de-dieu--9782130585039.htm
9782130607595,9782130631170,Cold Case,Boutet,Marjolaine,P.U.F.,Hors collection,Arts,,2013,2017-04-05,non,D,infos non disponibles,http://www.cairn.info/cold-case--9782130607595.htm
9782200277161,9782200284770,Correspondance allemande d'Eugène Müntz,Passini,Michela,Armand Colin,Documents,Arts,,2012,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/correspondance-allemande-d-eugene-muntz--9782200277161.htm
9782130627395,9782130642169,Court traité du design ,Vial,Stéphane,P.U.F.,Quadrige,Arts,,2010,2015-01-01,non,E,infos non disponibles,http://www.cairn.info/court-traite-du-design --9782130627395.htm
9782130585640,9782130741558,"Danse, art et modernité",Huesca,Roland,P.U.F.,Lignes d'art,Arts,,2012,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/danse-art-et-modernite--9782130585640.htm
9782804135447,,De la fiction,Odin,Roger,De Boeck Supérieur,Arts  Cinéma,Arts,,2000,2014-12-24,non,D,infos non disponibles,http://www.cairn.info/de-la-fiction--9782804135447.htm
9782804129996,,De la figure en général et du corps en particulier,Brenez,Nicole,De Boeck Supérieur,Arts  Cinéma,Arts,,1998,2015-01-05,non,E,infos non disponibles,http://www.cairn.info/de-la-figure-en-general-et-du-corps-en-particulier--9782804129996.htm
9782940516087,9782940516056,Des accords équivoques,Groupe Anthropologie et Théâtre,,BSN Press,A contrario Campus,Arts,,2013,2014-11-07,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/des-accords-equivoques--9782940516056.htm
